Region,Title,Rating
JP,阿凡達：火與燼,544.1465
JP,巨洪,478.4638
JP,出神入化3,324.1008
JP,動物方城市2,322.1041
JP,黃金硬漢：殺出血路,265.0704
JP,佛萊迪餐館之五夜驚魂2,311.5878
JP,死鑽倒影,222.8993
JP,世界毀滅者,180.5923
JP,Delivery Run,201.9174
JP,三惡人,187.3056
JP,鋒迴路轉：亡者歸來,151.0184
JP,Bang: storm of bullets,158.8123
JP,逃亡遊戲,144.9783
JP,世界大戰,170.0792
JP,勇者時刻,138.7874
JP,捕風追影,127.9453
JP,創：戰神,116.0037
JP,狩獵季,103.502
JP,Risqué,196.6902
JP,狼城驚魂,176.9445
JP,劇場版『鏈鋸人 蕾潔篇』,95.9664
JP,換乘真愛,96.9223
JP,終極戰士：殺戮星球,105.2188
JP,The Other,77.9351
JP,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,90.2879
JP,山怪巨魔 2,80.6894
JP,角頭－鬥陣欸,83.6628
JP,家弒服務,80.6805
JP,神鬼劫案：瞞天過海,70.2168
JP,坎塔拉：第一章,73.0079
JP,科學怪人,72.8625
JP,一戰再戰,73.8238
JP,哪吒之魔童鬧海,68.0471
JP,征服者,68.4349
JP,德古拉：愛情故事,64.2367
JP,Kpop 獵魔女團,64.8486
JP,紐倫堡審判,65.6964
JP,劇場版 咒術迴戰 澀谷事變x死滅迴游 先行上映,64.1211
JP,倫敦呼喚,63.1551
JP,不可能的任務：最終清算,59.7362
JP,Soy Frankelda,53.0656
JP,乖狗狗,60.1417
JP,去死吧，親愛的,57.1241
JP,魔法壞女巫：第二部,51.4235
JP,超人,56.4327
JP,驚奇4超人：第一步,50.7702
JP,海綿寶寶電影版：尋寶大冒險,51.0002
JP,柔語情話,47.6148
JP,限時營救,53.0914
JP,暴蜂尼亞,49.0012
JP,10DANCE,44.2628
JP,全家逃走中 2：在節難逃,46.3629
JP,孤夜尋兇：豪門血案,47.672
JP,顫懼,44.4973
JP,Please Don't Feed the Children,83.2824
JP,木匠之子,46.7185
JP,侏羅紀世界：重生,43.5976
JP,闇黑電話2,43.5413
JP,只為你遺憾,40.1966
JP,Dreams,41.0829
