Region,Title,Rating
KR,阿凡達：火與燼,544.1465
KR,巨洪,478.4638
KR,出神入化3,324.1008
KR,動物方城市2,322.1041
KR,黃金硬漢：殺出血路,265.0704
KR,佛萊迪餐館之五夜驚魂2,311.5878
KR,死鑽倒影,222.8993
KR,世界毀滅者,180.5923
KR,Delivery Run,201.9174
KR,三惡人,187.3056
KR,鋒迴路轉：亡者歸來,151.0184
KR,Bang: storm of bullets,158.8123
KR,逃亡遊戲,144.9783
KR,世界大戰,170.0792
KR,勇者時刻,138.7874
KR,捕風追影,127.9453
KR,創：戰神,116.0037
KR,狩獵季,103.502
KR,Risqué,196.6902
KR,狼城驚魂,176.9445
KR,劇場版『鏈鋸人 蕾潔篇』,95.9664
KR,換乘真愛,96.9223
KR,終極戰士：殺戮星球,105.2188
KR,The Other,77.9351
KR,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,90.2879
KR,山怪巨魔 2,80.6894
KR,角頭－鬥陣欸,83.6628
KR,家弒服務,80.6805
KR,神鬼劫案：瞞天過海,70.2168
KR,坎塔拉：第一章,73.0079
KR,科學怪人,72.8625
KR,一戰再戰,73.8238
KR,哪吒之魔童鬧海,68.0471
KR,征服者,68.4349
KR,德古拉：愛情故事,64.2367
KR,Kpop 獵魔女團,64.8486
KR,紐倫堡審判,65.6964
KR,劇場版 咒術迴戰 澀谷事變x死滅迴游 先行上映,64.1211
KR,倫敦呼喚,63.1551
KR,不可能的任務：最終清算,59.7362
KR,Soy Frankelda,53.0656
KR,乖狗狗,60.1417
KR,去死吧，親愛的,57.1241
KR,魔法壞女巫：第二部,51.4235
KR,超人,56.4327
KR,驚奇4超人：第一步,50.7702
KR,海綿寶寶電影版：尋寶大冒險,51.0002
KR,柔語情話,47.6148
KR,限時營救,53.0914
KR,暴蜂尼亞,49.0012
KR,10DANCE,44.2628
KR,全家逃走中 2：在節難逃,46.3629
KR,孤夜尋兇：豪門血案,47.672
KR,顫懼,44.4973
KR,Please Don't Feed the Children,83.2824
KR,木匠之子,46.7185
KR,侏羅紀世界：重生,43.5976
KR,闇黑電話2,43.5413
KR,只為你遺憾,40.1966
KR,Dreams,41.0829
