country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2025-12-21,Films,1,Muroi Shinji: Stay Alive,,1
Japan,JP,2025-12-21,Films,2,10DANCE,,1
Japan,JP,2025-12-21,Films,3,The Great Flood,,1
Japan,JP,2025-12-21,Films,4,Wake Up Dead Man: A Knives Out Mystery,,2
Japan,JP,2025-12-21,Films,5,Muroi Shinji: Not Defeated,,6
Japan,JP,2025-12-21,Films,6,Anpanman: Baikinman and Lulun in the Picture Book,,1
Japan,JP,2025-12-21,Films,7,Harry Potter and the Sorcerer's Stone,,32
Japan,JP,2025-12-21,Films,8,KPop Demon Hunters,,26
Japan,JP,2025-12-21,Films,9,The Call of the Wild,,2
Japan,JP,2025-12-21,Films,10,Don't Lose Your Head!,,3
Japan,JP,2025-12-14,Films,1,Don't Lose Your Head!,,2
Japan,JP,2025-12-14,Films,2,Alpha,,1
Japan,JP,2025-12-14,Films,3,Wake Up Dead Man: A Knives Out Mystery,,1
Japan,JP,2025-12-14,Films,4,KPop Demon Hunters,,25
Japan,JP,2025-12-14,Films,5,The Roundup: Punishment,,2
Japan,JP,2025-12-14,Films,6,Muroi Shinji: Not Defeated,,5
Japan,JP,2025-12-14,Films,7,My Secret Santa,,1
Japan,JP,2025-12-14,Films,8,The Call of the Wild,,1
Japan,JP,2025-12-14,Films,9,Troll 2,,2
Japan,JP,2025-12-14,Films,10,The Blood of Wolves,,5
Japan,JP,2025-12-07,Films,1,The Roundup: Punishment,,1
Japan,JP,2025-12-07,Films,2,Troll 2,,1
Japan,JP,2025-12-07,Films,3,Winnie the Pooh: Blood and Honey,,1
Japan,JP,2025-12-07,Films,4,KPop Demon Hunters,,24
Japan,JP,2025-12-07,Films,5,Summer Wars,,5
Japan,JP,2025-12-07,Films,6,Troll,,5
Japan,JP,2025-12-07,Films,7,Don't Lose Your Head!,,1
Japan,JP,2025-12-07,Films,8,Muroi Shinji: Not Defeated,,4
Japan,JP,2025-12-07,Films,9,Winnie-the-Pooh: Blood and Honey 2,,1
Japan,JP,2025-12-07,Films,10,Jingle Bell Heist,,2
Japan,JP,2025-11-30,Films,1,Summer Wars,,4
Japan,JP,2025-11-30,Films,2,Belle,,1
Japan,JP,2025-11-30,Films,3,The Boy and the Beast,,4
Japan,JP,2025-11-30,Films,4,Muroi Shinji: Not Defeated,,3
Japan,JP,2025-11-30,Films,5,Wolf Children,,4
Japan,JP,2025-11-30,Films,6,KPop Demon Hunters,,23
Japan,JP,2025-11-30,Films,7,Jingle Bell Heist,,1
Japan,JP,2025-11-30,Films,8,My SO Has Depression,,1
Japan,JP,2025-11-30,Films,9,Mirai,,2
Japan,JP,2025-11-30,Films,10,Champagne Problems,,2
Japan,JP,2025-11-23,Films,1,Muroi Shinji: Not Defeated,,2
Japan,JP,2025-11-23,Films,2,Crows Explode,,2
Japan,JP,2025-11-23,Films,3,Crows: Episode Zero,,1
Japan,JP,2025-11-23,Films,4,Crows: Episode Zero II,,1
Japan,JP,2025-11-23,Films,5,KPop Demon Hunters,,22
Japan,JP,2025-11-23,Films,6,Champagne Problems,,1
Japan,JP,2025-11-23,Films,7,Frankenstein,,3
Japan,JP,2025-11-23,Films,8,The Voice of Sin,,5
Japan,JP,2025-11-23,Films,9,A HOUSE OF DYNAMITE,,5
Japan,JP,2025-11-23,Films,10,Dogman,,1
Japan,JP,2025-11-16,Films,1,Muroi Shinji: Not Defeated,,1
Japan,JP,2025-11-16,Films,2,Frankenstein,,2
Japan,JP,2025-11-16,Films,3,Crows Explode,,1
Japan,JP,2025-11-16,Films,4,It Takes More Than a Pretty Face To Fall in Love,,2
Japan,JP,2025-11-16,Films,5,KPop Demon Hunters,,21
Japan,JP,2025-11-16,Films,6,A HOUSE OF DYNAMITE,,4
Japan,JP,2025-11-16,Films,7,OVERLORD:The Sacred Kingdom,,3
Japan,JP,2025-11-16,Films,8,A Time to Kill,,1
Japan,JP,2025-11-16,Films,9,Partners: The Movie II,,1
Japan,JP,2025-11-16,Films,10,Jack Reacher: Never Go Back,,4
Japan,JP,2025-11-09,Films,1,OVERLORD:The Sacred Kingdom,,2
Japan,JP,2025-11-09,Films,2,A HOUSE OF DYNAMITE,,3
Japan,JP,2025-11-09,Films,3,Frankenstein,,1
Japan,JP,2025-11-09,Films,4,It Takes More Than a Pretty Face To Fall in Love,,1
Japan,JP,2025-11-09,Films,5,KPop Demon Hunters,,20
Japan,JP,2025-11-09,Films,6,5 Centimeters Per Second,,1
Japan,JP,2025-11-09,Films,7,Ghostbusters: Frozen Empire,,1
Japan,JP,2025-11-09,Films,8,All About Suomi,,4
Japan,JP,2025-11-09,Films,9,The Garden of Words,,1
Japan,JP,2025-11-09,Films,10,Jack Reacher: Never Go Back,,3
Japan,JP,2025-11-02,Films,1,A HOUSE OF DYNAMITE,,2
Japan,JP,2025-11-02,Films,2,OVERLORD:The Sacred Kingdom,,1
Japan,JP,2025-11-02,Films,3,The Elixir,,2
Japan,JP,2025-11-02,Films,4,KPop Demon Hunters,,19
Japan,JP,2025-11-02,Films,5,All About Suomi,,3
Japan,JP,2025-11-02,Films,6,Don't Say a Word,,2
Japan,JP,2025-11-02,Films,7,Good News,,3
Japan,JP,2025-11-02,Films,8,Ballad of a Small Player,,1
Japan,JP,2025-11-02,Films,9,The Woman in Cabin 10,,4
Japan,JP,2025-11-02,Films,10,Chainsaw Man â The Compilation,,8
Japan,JP,2025-10-26,Films,1,All About Suomi,,2
Japan,JP,2025-10-26,Films,2,A HOUSE OF DYNAMITE,,1
Japan,JP,2025-10-26,Films,3,The Elixir,,1
Japan,JP,2025-10-26,Films,4,Good News,,2
Japan,JP,2025-10-26,Films,5,HELL DOGS - IN THE HOUSE OF BAMBOO -,,9
Japan,JP,2025-10-26,Films,6,KPop Demon Hunters,,18
Japan,JP,2025-10-26,Films,7,The Woman in Cabin 10,,3
Japan,JP,2025-10-26,Films,8,Don't Say a Word,,1
Japan,JP,2025-10-26,Films,9,Chainsaw Man â The Compilation,,7
Japan,JP,2025-10-26,Films,10,Sin and Evil,,6
Japan,JP,2025-10-19,Films,1,All About Suomi,,1
Japan,JP,2025-10-19,Films,2,The Woman in Cabin 10,,2
Japan,JP,2025-10-19,Films,3,HELL DOGS - IN THE HOUSE OF BAMBOO -,,8
Japan,JP,2025-10-19,Films,4,KPop Demon Hunters,,17
Japan,JP,2025-10-19,Films,5,Chainsaw Man â The Compilation,,6
Japan,JP,2025-10-19,Films,6,Caramelo,,2
Japan,JP,2025-10-19,Films,7,Good News,,1
Japan,JP,2025-10-19,Films,8,Sin and Evil,,5
Japan,JP,2025-10-19,Films,9,Mantis,,4
Japan,JP,2025-10-19,Films,10,My Happy Marriage,,5
Japan,JP,2025-10-12,Films,1,Chainsaw Man â The Compilation,,5
Japan,JP,2025-10-12,Films,2,KPop Demon Hunters,,16
Japan,JP,2025-10-12,Films,3,The Woman in Cabin 10,,1
Japan,JP,2025-10-12,Films,4,Mantis,,3
Japan,JP,2025-10-12,Films,5,Sin and Evil,,4
Japan,JP,2025-10-12,Films,6,HELL DOGS - IN THE HOUSE OF BAMBOO -,,7
Japan,JP,2025-10-12,Films,7,Caramelo,,1
Japan,JP,2025-10-12,Films,8,My Happy Marriage,,4
Japan,JP,2025-10-12,Films,9,Madame Web,,2
Japan,JP,2025-10-12,Films,10,Migration,,1
Japan,JP,2025-10-05,Films,1,Mantis,,2
Japan,JP,2025-10-05,Films,2,Chainsaw Man â The Compilation,,4
Japan,JP,2025-10-05,Films,3,KPop Demon Hunters,,15
Japan,JP,2025-10-05,Films,4,Sin and Evil,,3
Japan,JP,2025-10-05,Films,5,Madame Web,,1
Japan,JP,2025-10-05,Films,6,Man on Fire,,2
Japan,JP,2025-10-05,Films,7,My Happy Marriage,,3
Japan,JP,2025-10-05,Films,8,Organ Child,,1
Japan,JP,2025-10-05,Films,9,French Lover,,1
Japan,JP,2025-10-05,Films,10,The Last Town We Saw,The Last Town We Saw: Season 1,3
Japan,JP,2025-09-28,Films,1,Sin and Evil,,2
Japan,JP,2025-09-28,Films,2,The Last Town We Saw,The Last Town We Saw: Season 1,2
Japan,JP,2025-09-28,Films,3,Chainsaw Man â The Compilation,,3
Japan,JP,2025-09-28,Films,4,My Happy Marriage,,2
Japan,JP,2025-09-28,Films,5,Mantis,,1
Japan,JP,2025-09-28,Films,6,KPop Demon Hunters,,14
Japan,JP,2025-09-28,Films,7,Man on Fire,,1
Japan,JP,2025-09-28,Films,8,Seventh Son,,3
Japan,JP,2025-09-28,Films,9,Black Crow 1,,3
Japan,JP,2025-09-28,Films,10,Black Crow 2,,2
Japan,JP,2025-09-21,Films,1,Chainsaw Man â The Compilation,,2
Japan,JP,2025-09-21,Films,2,My Happy Marriage,,1
Japan,JP,2025-09-21,Films,3,Sin and Evil,,1
Japan,JP,2025-09-21,Films,4,Black Crow 1,,2
Japan,JP,2025-09-21,Films,5,KPop Demon Hunters,,13
Japan,JP,2025-09-21,Films,6,The Last Town We Saw,The Last Town We Saw: Season 1,1
Japan,JP,2025-09-21,Films,7,Black Crow 2,,1
Japan,JP,2025-09-21,Films,8,Black Crow3,,2
Japan,JP,2025-09-21,Films,9,Black Crow0,,2
Japan,JP,2025-09-21,Films,10,Mafia Mamma,,1
Japan,JP,2025-09-14,Films,1,Chainsaw Man â The Compilation,,1
Japan,JP,2025-09-14,Films,2,KPop Demon Hunters,,12
Japan,JP,2025-09-14,Films,3,Honeko Akabaneâs Bodyguards,,2
Japan,JP,2025-09-14,Films,4,Hey Handsome!! The Movie,,2
Japan,JP,2025-09-14,Films,5,Love Untangled,,3
Japan,JP,2025-09-14,Films,6,Black Crow 1,,1
Japan,JP,2025-09-14,Films,7,Black Crow0,,1
Japan,JP,2025-09-14,Films,8,City Hunter,,8
Japan,JP,2025-09-14,Films,9,Black Crow3,,1
Japan,JP,2025-09-14,Films,10,The Thursday Murder Club,,3
Japan,JP,2025-09-07,Films,1,Honeko Akabaneâs Bodyguards,,1
Japan,JP,2025-09-07,Films,2,Hey Handsome!! The Movie,,1
Japan,JP,2025-09-07,Films,3,Love Untangled,,2
Japan,JP,2025-09-07,Films,4,KPop Demon Hunters,,11
Japan,JP,2025-09-07,Films,5,The Thursday Murder Club,,2
Japan,JP,2025-09-07,Films,6,Five Nights at Freddy's,,1
Japan,JP,2025-09-07,Films,7,Tokyo MER: Mobile Emergency Room - The Movie,,7
Japan,JP,2025-09-07,Films,8,PAW Patrol: The Mighty Movie,,4
Japan,JP,2025-09-07,Films,9,Hokusai,,1
Japan,JP,2025-09-07,Films,10,Fast & Furious Presents: Hobbs & Shaw,,6
