Region,Title,Rating
JP,A HOUSE OF DYNAMITE,1
JP,All About Suomi,1
JP,Back in Action,1
JP,Chainsaw Man â The Compilation,1
JP,Cells At Work!,1
JP,Bullet Train Explosion,1
JP,Demon City,1
JP,Crayon Shin-chan the Movie: Our Dinosaur Diary,1
JP,Detective Conan the Movie: The Bride of Halloween,1
JP,Detective Conan the Movie: Black Iron Submarine,1
JP,Kingdom: Return of The Great General,1
JP,KPop Demon Hunters,1
JP,Faceless,1
JP,Don't Lose Your Head!,1
JP,Do Unto Others,1
JP,Detective Conan: The Million-Dollar Pentagram,1
JP,Haikyu!!: The Dumpster Battle,1
JP,Honeko Akabaneâs Bodyguards,1
JP,Wall to Wall,1
JP,Tokyo MER: Mobile Emergency Room - The Movie,1
JP,Sin and Evil,1
JP,Sunset Sunrise,1
JP,Summer Wars,1
JP,Spy x Family Code: White,1
JP,OVERLORD:The Sacred Kingdom,1
JP,Phases of the Moon,1
JP,Revolver Lily,1
JP,Muroi Shinji: Stay Alive,1
JP,Men in Black: International,1
JP,Muroi Shinji: Not Defeated,1
JP,Mantis,1
JP,Lovesick Ellie,1
JP,The Old Guard 2,1
JP,The Roundup: Punishment,1
JP,Godzilla x Kong: The New Empire,2
JP,Grave of the Fireflies,2
JP,Shin Jigen! Crayon Shin-chan the Movie,2
JP,The Thursday Murder Club,2
JP,The Old Guard,2
JP,The Last Town We Saw,2
JP,The Woman in Cabin 10,2
JP,Troll 2,2
JP,Mission: Impossible - Dead Reckoning,2
JP,M3GAN,2
JP,The Super Mario Bros. Movie,2
JP,The Expendables 4,2
JP,The Equalizer 3,2
JP,The Electric State,2
JP,Detective Conan the Movie: The Scarlet Bullet,2
JP,Exterritorial,2
JP,Detective Conan the  Movie: Zero the Enforcer,2
JP,Dr. Coto's Clinic 2022,2
JP,K.O.,2
JP,Love You as the World Ends Final The Movie,2
JP,Hey Handsome!! The Movie,2
JP,Frankenstein,2
JP,Crows Explode,2
JP,Detective Conan the Movie: Crossroad in the Ancient Capital,2
JP,28 Weeks Later,2
JP,BogotÃ¡: City of the Lost,2
JP,Belle,2
JP,Alpha,2
JP,Ad Vitam,2
JP,10DANCE,2
JP,My Happy Marriage,2
JP,STRAW,3
JP,The Great Flood,3
JP,The Elixir,3
JP,99.9 Criminal Lawyer: The Movie,3
JP,11 Rebels,3
JP,Detective Conan the Movie: The Fist of Blue Sapphire,3
JP,Crows: Episode Zero,3
JP,Fast X,3
JP,HELL DOGS - IN THE HOUSE OF BAMBOO -,3
JP,Love Untangled,3
JP,Home Sweet Home,3
JP,Detective Conan: The Story of Ai Haibara: Black Iron Mystery Train,3
JP,Flightplan,3
JP,Detective Conan the Movie: Raven Chaser,3
JP,Revelations,3
JP,The Boy and the Beast,3
JP,Silence of the Sea,3
JP,Ya Boy Kongming! The Movie,3
JP,Winnie the Pooh: Blood and Honey,3
JP,The Secret Life of Pets 2,3
JP,Wake Up Dead Man: A Knives Out Mystery,3
JP,PAW Patrol: The Mighty Movie,3
JP,My Hero Academia: You're Next,3
JP,City Hunter The Movie: Angel Dust,4
JP,Crows: Episode Zero II,4
JP,Doraemon The Movie: Nobita's Sky Utopia,4
JP,iHostage,4
JP,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,4
JP,The Sentinel,4
JP,The Rose of Versailles,4
JP,Inside Man: Most Wanted,4
JP,Carry-On,4
JP,Detective Conan the Movie: Captured in Her Eyes,4
JP,Death Row Family,4
JP,Don't Call it Mystery: The Movie,4
JP,Good News,4
JP,It Takes More Than a Pretty Face To Fall in Love,4
JP,Furiosa: A Mad Max Saga,4
JP,Emily the Criminal,4
JP,Detective Conan the Movie: Dimensional Sniper,4
JP,Brick,4
JP,Black Crow 1,4
JP,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,4
JP,Ichikei's Crow: The Movie,5
JP,In an Isolated Cottage on a Snowy Mountain,5
JP,Kinda Pregnant,5
JP,Silent Love,5
JP,Ziam,5
JP,Wolf Children,5
JP,The Wrath of Becky,5
JP,Havoc,5
JP,Detective Conan : The Private Eyes' Requiem,5
JP,Detective Conan the Movie: The Darkest Nightmare,5
JP,Fly Me to the Saitama: From Biwa Lake With Love,5
JP,Ichiko,5
JP,Beetlejuice Beetlejuice,5
JP,Breaking,5
JP,The Exorcist: Believer,5
JP,Detective Conan the Movie: Quarter of Silence,5
JP,The Equalizer,5
JP,Madame Web,5
JP,Detective Conan the Movie: The Lost Ship in the Sky,6
JP,Champagne Problems,6
JP,Living in Two Worlds,6
JP,Fictitious Girl's Diary The Movie,6
JP,Don't Say a Word,6
JP,Five Nights at Freddy's,6
JP,Strays,6
JP,Run For Money The Movie,6
JP,Man on Fire,6
JP,Twisters,6
JP,Troll,6
JP,The Match,6
JP,The Pope's Exorcist,6
JP,Caramelo,6
JP,Detective Conan the Movie: The Fourteenth Target,6
JP,Anpanman: Baikinman and Lulun in the Picture Book,6
JP,5 Centimeters Per Second,6
JP,Anpanman: Nyani from the Country of Dreamcat,6
JP,My Oxford Year,6
JP,Road to King Side Story Yamazaki Group Joji and His Cheerful Friends,6
JP,Perfect Blue,6
JP,Paw Patrol: The Movie,6
JP,Ma,6
JP,Taxi,7
JP,My Secret Santa,7
JP,The Equalizer 2,7
JP,Black Crow0,7
JP,Almost Cops,7
JP,Black Crow 2,7
JP,The Confidence Man JP - Episode of the Hero -,7
JP,Ghostbusters: Frozen Empire,7
JP,Jingle Bell Heist,7
JP,Judge!,7
JP,Harry Potter and the Sorcerer's Stone,7
JP,Detective Conan the Movie: Sunflowers of Inferno,7
JP,Bewitched,7
JP,Detective Conan the Movie: The Crimson Love Letter,7
JP,Counterattack,7
JP,My SO Has Depression,8
JP,Squad 36,8
JP,Seventh Son,8
JP,Shrek,8
JP,Organ Child,8
JP,The Voice of Sin,8
JP,Titan: The OceanGate Submersible Disaster,8
JP,The Life List,8
JP,THE CONFIDENCE MAN JPï¼The Movie-,8
JP,The Call of the Wild,8
JP,Tang,8
JP,Sniper: G.R.I.T. - Global Response & Intelligence Team,8
JP,Yudo,8
JP,Detective Conan the Movie: Private Eye in the Distant Sea,8
JP,Fear Street: Prom Queen,8
JP,Last Bullet,8
JP,A Time to Kill,8
JP,Detective Conan the Movie: Eleventh Striker,8
JP,Inside,8
JP,Elektra,8
JP,City Hunter,8
JP,Black Crow3,8
JP,Ballad of a Small Player,8
JP,Hokusai,9
JP,Lakeview Terrace,9
JP,Dolittle,9
JP,Detective Conan the Movie: The Phantom of Baker Street,9
JP,Egoist,9
JP,Ghost Cat Anzu,9
JP,Mirai,9
