Region,Title,Rating
TW,阿凡達：火與燼,544.1465
TW,巨洪,478.4638
TW,出神入化3,324.1008
TW,動物方城市2,322.1041
TW,黃金硬漢：殺出血路,265.0704
TW,佛萊迪餐館之五夜驚魂2,311.5878
TW,死鑽倒影,222.8993
TW,世界毀滅者,180.5923
TW,Delivery Run,201.9174
TW,三惡人,187.3056
TW,鋒迴路轉：亡者歸來,151.0184
TW,Bang: storm of bullets,158.8123
TW,逃亡遊戲,144.9783
TW,世界大戰,170.0792
TW,勇者時刻,138.7874
TW,捕風追影,127.9453
TW,創：戰神,116.0037
TW,狩獵季,103.502
TW,Risqué,196.6902
TW,狼城驚魂,176.9445
TW,劇場版『鏈鋸人 蕾潔篇』,95.9664
TW,換乘真愛,96.9223
TW,終極戰士：殺戮星球,105.2188
TW,The Other,77.9351
TW,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,90.2879
TW,山怪巨魔 2,80.6894
TW,角頭－鬥陣欸,83.6628
TW,家弒服務,80.6805
TW,神鬼劫案：瞞天過海,70.2168
TW,坎塔拉：第一章,73.0079
TW,科學怪人,72.8625
TW,一戰再戰,73.8238
TW,哪吒之魔童鬧海,68.0471
TW,征服者,68.4349
TW,德古拉：愛情故事,64.2367
TW,Kpop 獵魔女團,64.8486
TW,紐倫堡審判,65.6964
TW,劇場版 咒術迴戰 澀谷事變x死滅迴游 先行上映,64.1211
TW,倫敦呼喚,63.1551
TW,不可能的任務：最終清算,59.7362
TW,Soy Frankelda,53.0656
TW,乖狗狗,60.1417
TW,去死吧，親愛的,57.1241
TW,魔法壞女巫：第二部,51.4235
TW,超人,56.4327
TW,驚奇4超人：第一步,50.7702
TW,海綿寶寶電影版：尋寶大冒險,51.0002
TW,柔語情話,47.6148
TW,限時營救,53.0914
TW,暴蜂尼亞,49.0012
TW,10DANCE,44.2628
TW,全家逃走中 2：在節難逃,46.3629
TW,孤夜尋兇：豪門血案,47.672
TW,顫懼,44.4973
TW,Please Don't Feed the Children,83.2824
TW,木匠之子,46.7185
TW,侏羅紀世界：重生,43.5976
TW,闇黑電話2,43.5413
TW,只為你遺憾,40.1966
TW,Dreams,41.0829
