Region,Title,Rating
Country,鋒迴路轉：亡者歸來,7.5
Country,Dhurandhar,8.6
Country,影星傑凱利,6.6
Country,佛萊迪餐館之五夜驚魂2,5.6
Country,動物方城市2,7.7
Country,逃亡遊戲,6.5
Country,一戰再戰,7.9
Country,F1電影,7.7
Country,阿凡達：火與燼,N/A
Country,唉，好歡樂,5.3
Country,科學怪人,7.5
Country,去死吧，親愛的,6.3
Country,暴蜂尼亞,7.5
Country,聖誕老人亂亂愛,5.7
Country,火車大夢,7.5
Country,終極戰士：殺戮星球,7.4
Country,Hunting Season,5.6
Country,Nuremberg,7.5
Country,屋頂人,7.0
Country,哈姆奈特,8.1
Country,情感的價值,7.9
Country,Ella McCay,5.3
Country,家弒服務,N/A
Country,凶器,7.5
Country,出神入化3,6.2
Country,罪人,7.6
Country,Merv,5.6
Country,橫衝直闖,7.6
Country,超人,7.1
Country,換乘真愛,7.3
Country,"Silent Night, Deadly Night",6.5
Country,魔法壞女巫：第二部,7.0
Country,偷心響叮噹,5.7
Country,不可能的任務：最終清算,7.2
Country,盜藝有道,6.5
Country,Tere Ishk Mein,7.7
Country,聖誕前緣,5.3
Country,It Ends,6.1
Country,偷天盜日,6.9
Country,沒好婚姻,6.7
Country,顫懼,5.6
Country,Influencers,6.1
Country,劇場版『鏈鋸人 蕾潔篇』,8.5
Country,創：戰神,6.3
Country,The Girlfriend,6.9
Country,香檳情緣,6.0
Country,Dracula: A Love Tale,6.2
Country,Iron Lung,N/A
Country,驚奇4超人：第一步,6.9
Country,徵人啟弒,7.6
