Region,Title,Rating
AU,終極戰士：殺戮星球,7.4
AU,罪人,7.6
AU,超人,7.1
AU,魔法壞女巫：第二部,7.0
AU,沒好婚姻,6.7
AU,滿血復活,7.1
AU,雷霆特攻隊*,7.1
AU,星際寶貝：史迪奇,6.7
AU,永遠在一起,6.7
AU,卑鄙遊戲,5.9
AU,是誰搞的鬼,5.1
AU,鯊人魔,6.4
AU,清算之戰,5.3
AU,The Plague,7.0
AU,熱浪之夏,5.6
AU,Palestine 36,7.2
AU,疾凍救援：復仇,4.8
AU,One More Shot,5.6
AU,Beast of War,5.3
AU,EPiC: Elvis Presley in Concert,9.1
AU,The Travellers,5.8
AU,Bump: A Christmas Film,4.4
AU,The Golden Spurtle,7.7
AU,Jimpa,5.9
AU,Long Day's Journey Into Night,8.2
AU,The Offing,5.0
AU,Yanuni,7.0
AU,Kangaroo,6.7
AU,Residence,8.9
AU,The Room Below,N/A
AU,Fear Below,5.1
AU,"Mothers, Lovers and Others",8.2
AU,The Singing Priest,Rate
AU,Deeper,6.9
AU,Diabolic,8.1
AU,Unseen Enemy,Rate
AU,Pellegrinis: A Melbourne Legacy,7.6
AU,Until the Sky Falls Quiet,9.7
AU,First Moon,3.3
AU,Spit,6.1
AU,The Black Essence,8.3
AU,Space/Time,6.7
AU,Shaunki Sardar,8.4
AU,Carnal Vessels,6.0
AU,Backlash,4.5
AU,Alphabet Lane,6.3
AU,Snatchers,4.8
AU,The Edge,4.3
AU,The Household,4.6
AU,It Will Find You,8.0
