Region,Title,Rating
HK,Bu feng zhui ying,7.2
HK,Huo zhe yan,7.7
HK,世外,7.3
HK,射鵰英雄傳：俠之大者,6.4
HK,尋秦記,N/A
HK,阿龍,4.9
HK,隱蹟之書：重寫自我,8.4
HK,無名指,6.0
HK,Noi Mok,5.2
HK,殺手#4,6.3
HK,Golden Boy,6.1
HK,眾生相,6.8
HK,風林火山,5.9
HK,Hybrid Storm,5.3
HK,Shui jiao huang hou,6.4
HK,地母,6.5
HK,私家偵探,5.8
HK,Ji dao,6.7
HK,臨時決鬥,5.7
HK,今天應該很高興,6.4
HK,Someone Like Me,6.6
HK,Zhi ming wan ou,5.5
HK,Luz,6.2
HK,他年她日,5.2
HK,Jik Zyun Soeng Bun Coeng,6.4
HK,惡行之外,4.4
HK,My Best Bet,5.4
HK,觸電,6.7
HK,女孩不平凡,Rate
HK,Wo hui hao hao de,5.5
HK,Maa Zoek Neoi Wong Zeoi Naam Zai,4.8
HK,搗破法蘭克,5.5
HK,Wu Ming zhi Bei: Yi Yi Fei Fan,N/A
HK,Gamer Girls,Rate
HK,Unidentified Murder,7.8
HK,Ha Ha Ha Happy New Year,3.7
HK,Me Too,Rate
HK,Dzou niu,Rate
HK,Rock N Cop the movie,Rate
HK,Learning to Fly,Rate
HK,I Want to Be Rich,4.5
HK,謊島美人魚,3.1
HK,小蟲蟲大冒險,Rate
HK,Inside Out,Rate
HK,What's next?,2.5
HK,Whisperings of the Moon,Rate
HK,The River That Holds Our Hands,Rate
HK,A Land with No Ceremony,Rate
HK,Returning Home,Rate
HK,City of Shells: Our Forgotten Oyster Reefs,Rate
