Region,Title,Rating
JP,劇場版『鏈鋸人 蕾潔篇』,8.5
JP,劇場版 咒術迴戰 澀谷事變x死滅迴游 先行上映,6.5
JP,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,8.5
JP,侏羅紀世界：重生,5.9
JP,日租家庭,7.9
JP,重擊人生,6.4
JP,上流× 下流,5.5
JP,Lone Samurai,4.7
JP,國寶,8.0
JP,Scarlet 永無止境的史嘉蕾,6.4
JP,8號出口,6.5
JP,狠狠愛,5.3
JP,Dollhouse,6.7
JP,殺無盡,6.6
JP,10DANCE,N/A
JP,劇場版 咒術迴戰 懷玉．玉折,7.9
JP,Harà watan,8.2
JP,電影哆啦A夢：大雄的繪畫世界物語,7.3
JP,電影蠟筆小新：超華麗！灼熱的春日部舞者們,6.8
JP,一百公尺。,8.0
JP,名偵探柯南 獨眼的殘像,6.7
JP,膽大黨：邪視,7.8
JP,旅與日子,7.2
JP,風葵的夏日物語,6.4
JP,地下忍者,5.7
JP,魯邦三世 不死身的血族,6.5
JP,陰陽眼見子,6.6
JP,怪獸8號：Mission Recon,6.8
JP,群山淡景,6.8
JP,New Group,5.9
JP,戰疫前線,6.6
JP,Kaede,N/A
JP,浮世繪女兒,5.7
JP,東京計程車,7.1
JP,劇場版物怪 第2章 火鼠,7.1
JP,新幹線驚爆倒數,6.2
JP,鬼城殺,5.4
JP,Junk World,6.7
JP,佐賀偶像是傳奇 夢幻銀河樂園,7.1
JP,龍之心-靈界探訪記-,5.1
JP,劇場版 世界計畫 崩壞的世界與無法歌唱的初音未來,6.5
JP,Muromachi Burai,6.0
JP,近畿．禁忌,6.0
JP,殺手#4,6.3
JP,寶島,6.3
JP,Wind Breaker,5.7
JP,怪譚搜索,3.7
JP,Byosoku 5 senchimetoru,7.3
JP,凡爾賽玫瑰,5.8
JP,ChaO，我代表人類跟人魚結婚了,7.1
