Region,Title,Rating
KR,暴蜂尼亞,7.5
KR,徵人啟弒,7.6
KR,米奇17號,6.7
KR,Daehongsu,6.8
KR,萬王之王,6.8
KR,全知讀者視角,5.7
KR,殺手螳螂,5.2
KR,放飛旅行團,6.9
KR,凶降喜訊,6.6
KR,異能5：死了一個超人以後,6.6
KR,再見星上人,7.1
KR,Panggil Aku Ayah,7.6
KR,Sal-in-ja Ri-po-teu,6.6
KR,獵魔士：深淵海妖,6.1
KR,捲捲初戀,7.1
KR,聖母殺手,6.0
KR,黑祭司2：闇黑修女,5.2
KR,凌晨兩點的惡魔,6.6
KR,醜得要命,6.9
KR,來自誰的啟示,6.0
KR,我和我的殭屍女兒,6.7
KR,Peurojekteu Y,8.1
KR,聖夜：惡魔都市,4.8
KR,Your Letter,8.1
KR,牆外之音,5.9
KR,#Runseokjin_Ep.Tour the Movie,N/A
KR,終極對弈,6.9
KR,黑白線人,6.6
KR,Witjip saramdeul,7.4
KR,Segyeui Ju-in,7.9
KR,殺人預言,5.2
KR,自然有話說,7.0
KR,Man-yag-e U-ri,N/A
KR,Boy,Rate
KR,Rangga & Cinta,6.8
KR,Donghwajiman cheongbul-ibnida,5.9
KR,Keadilan,8.5
KR,Taeyang-ui norae,6.8
KR,Cha Eun-woo VR Concert: Memories,9.4
KR,喬王出任務,5.8
KR,The Noisy Mansion,5.6
KR,The Ghost Game,4.9
KR,誰想當老大,5.1
KR,Charari Jukyeo,5.1
KR,大畫特務2,5.5
KR,ONE IN A MILL10N,8.4
KR,Kon-keu-ri-teu Ma-ket,Rate
KR,Even if This Love Disappears from the World Tonight,N/A
KR,全力奔跑,9.5
KR,Night Fever,N/A
