Region,Title,Rating
TW,侏羅紀世界：重生,5.9
TW,左撇子女孩,7.4
TW,Magalhães,6.7
TW,大濛,7.8
TW,狼少女末世錄,7.8
TW,我家的事,7.5
TW,叫我驅魔男神,N/A
TW,角頭－鬥陣欸,7.2
TW,96分鐘,6.8
TW,隱蹟之書：重寫自我,8.4
TW,泥娃娃,7.2
TW,有病才會喜歡你,6.7
TW,器子,5.5
TW,女孩,6.3
TW,Esok Tanpa Ibu,Rate
TW,從來,6.2
TW,山忌 黃衣小飛俠,5.4
TW,自殺通告,6.9
TW,Slave Island,7.9
TW,最親愛的陌生人,5.9
TW,他年她日,5.2
TW,Hui Jia,6.1
TW,大風之島,7.4
TW,雙囍,Rate
TW,China Sea,7.4
TW,女孩不平凡,Rate
TW,燭線危機,5.0
TW,失明,6.8
TW,Thunderbolt Fantasy 東離劍遊紀 最終章,7.6
TW,失樂園,Rate
TW,造山者－世紀的賭注,7.7
TW,深度安靜,6.7
TW,丟包阿公到我家,6.7
TW,Admission,8.0
TW,Memories Frozen in Time,Rate
TW,人生海海,6.8
TW,那張照片裡的我們,N/A
TW,詭鄉,Rate
TW,The Male Gaze: Secrets and Lies,Rate
TW,夏日最後的祕密,5.9
TW,雲在兩千米,Rate
TW,陌路兄弟,6.4
TW,河鰻,6.1
TW,陽光女子合唱團,N/A
TW,南方時光,6.0
TW,進行曲,7.2
TW,女孩白日夢,Rate
TW,恨女的逆襲,6.4
TW,小蟲蟲大冒險,Rate
TW,明日的過客,Rate
