Region,Title,Rank,Source
AU,Champagne Problems,1,Netflix
AU,Despicable Me 4,1,Netflix
AU,The Woman in Cabin 10,1,Netflix
AU,The Wild Robot,1,Netflix
AU,The Old Guard 2,1,Netflix
AU,The Perfect Neighbor,1,Netflix
AU,The Secret Life of Pets 2,1,Netflix
AU,The Life List,1,Netflix
AU,The Thursday Murder Club,1,Netflix
AU,Happy Gilmore 2,1,Netflix
AU,Furiosa: A Mad Max Saga,1,Netflix
AU,Freelance,1,Netflix
AU,Frankenstein,1,Netflix
AU,Grey Lady,1,Netflix
AU,The Equalizer 3,1,Netflix
AU,The Electric State,1,Netflix
AU,Havoc,1,Netflix
AU,Nonnas,1,Netflix
AU,No Hard Feelings,1,Netflix
AU,Inside Man: Most Wanted,1,Netflix
AU,PAW Patrol: The Mighty Movie,1,Netflix
AU,My Secret Santa,1,Netflix
AU,Armor,1,Netflix
AU,Aftermath,1,Netflix
AU,Mission: Impossible - Dead Reckoning,1,Netflix
AU,A HOUSE OF DYNAMITE,1,Netflix
AU,A Man Called Otto,1,Netflix
AU,Last Breath,1,Netflix
AU,La Dolce Villa,1,Netflix
AU,KPop Demon Hunters,1,Netflix
AU,Kinda Pregnant,1,Netflix
AU,STRAW,1,Netflix
AU,Trainwreck: Poop Cruise,1,Netflix
AU,Back in Action,1,Netflix
AU,Unknown Number: The High School Catfish,1,Netflix
AU,Wake Up Dead Man: A Knives Out Mystery,1,Netflix
AU,The Croods: A New Age,2,Netflix
AU,A Deadly American Marriage,2,Netflix
AU,Aileen: Queen of the Serial Killers,2,Netflix
AU,Jingle Bell Heist,2,Netflix
AU,Wallace & Gromit: Vengeance Most Fowl,2,Netflix
AU,William Tell,2,Netflix
AU,Love Again,2,Netflix
AU,Titan: The OceanGate Submersible Disaster,2,Netflix
AU,Troll 2,2,Netflix
AU,Transformers: Rise of the Beasts,2,Netflix
AU,Bridget Jones: Mad About the Boy,2,Netflix
AU,Under the Boardwalk,2,Netflix
AU,A Widow's Game,2,Netflix
AU,The Twister: Caught in the Storm,2,Netflix
AU,Despicable Me 3,2,Netflix
AU,Con Mum,2,Netflix
AU,Exterritorial,2,Netflix
AU,The Watchers,2,Netflix
AU,Godzilla x Kong: The New Empire,2,Netflix
AU,Speak No Evil,2,Netflix
AU,The Beekeeper,2,Netflix
AU,Plankton: The Movie,2,Netflix
AU,My Oxford Year,2,Netflix
AU,iHostage,3,Netflix
AU,The Bikeriders,3,Netflix
AU,Spider-Man: Across the Spider-Verse,3,Netflix
AU,Dog Man,3,Netflix
AU,Jay Kelly,3,Netflix
AU,Wicked,3,Netflix
AU,"Lyle, Lyle, Crocodile",3,Netflix
AU,Trainwreck: The Astroworld Tragedy,3,Netflix
AU,Black and Blue,3,Netflix
AU,Black Bag,3,Netflix
AU,The Wrong Paris,3,Netflix
AU,The Hill,3,Netflix
AU,In Your Dreams,3,Netflix
AU,Force of Nature: The Dry 2,3,Netflix
AU,Happy Gilmore,3,Netflix
AU,Romance in Style,3,Netflix
AU,A Merry Little Ex-Mas,3,Netflix
AU,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,3,Netflix
