Region,Title,Rating,Source,Score
Country,鋒迴路轉：亡者歸來,7.5,IMDb,7.5
Country,Dhurandhar,8.6,IMDb,8.6
Country,影星傑凱利,6.6,IMDb,6.6
Country,佛萊迪餐館之五夜驚魂2,5.6,IMDb,5.6
Country,動物方城市2,7.7,IMDb,7.7
Country,逃亡遊戲,6.5,IMDb,6.5
Country,一戰再戰,7.9,IMDb,7.9
Country,F1電影,7.7,IMDb,7.7
Country,阿凡達：火與燼,,IMDb,
Country,唉，好歡樂,5.3,IMDb,5.3
Country,科學怪人,7.5,IMDb,7.5
Country,去死吧，親愛的,6.3,IMDb,6.3
Country,暴蜂尼亞,7.5,IMDb,7.5
Country,聖誕老人亂亂愛,5.7,IMDb,5.7
Country,火車大夢,7.5,IMDb,7.5
Country,終極戰士：殺戮星球,7.4,IMDb,7.4
Country,Hunting Season,5.6,IMDb,5.6
Country,Nuremberg,7.5,IMDb,7.5
Country,屋頂人,7.0,IMDb,7.0
Country,哈姆奈特,8.1,IMDb,8.1
Country,情感的價值,7.9,IMDb,7.9
Country,Ella McCay,5.3,IMDb,5.3
Country,家弒服務,,IMDb,
Country,凶器,7.5,IMDb,7.5
Country,出神入化3,6.2,IMDb,6.2
Country,罪人,7.6,IMDb,7.6
Country,Merv,5.6,IMDb,5.6
Country,橫衝直闖,7.6,IMDb,7.6
Country,超人,7.1,IMDb,7.1
Country,換乘真愛,7.3,IMDb,7.3
Country,"Silent Night, Deadly Night",6.5,IMDb,6.5
Country,魔法壞女巫：第二部,7.0,IMDb,7.0
Country,偷心響叮噹,5.7,IMDb,5.7
Country,不可能的任務：最終清算,7.2,IMDb,7.2
Country,盜藝有道,6.5,IMDb,6.5
Country,Tere Ishk Mein,7.7,IMDb,7.7
Country,聖誕前緣,5.3,IMDb,5.3
Country,It Ends,6.1,IMDb,6.1
Country,偷天盜日,6.9,IMDb,6.9
Country,沒好婚姻,6.7,IMDb,6.7
Country,顫懼,5.6,IMDb,5.6
Country,Influencers,6.1,IMDb,6.1
Country,劇場版『鏈鋸人 蕾潔篇』,8.5,IMDb,8.5
Country,創：戰神,6.3,IMDb,6.3
Country,The Girlfriend,6.9,IMDb,6.9
Country,香檳情緣,6.0,IMDb,6.0
Country,Dracula: A Love Tale,6.2,IMDb,6.2
Country,Iron Lung,,IMDb,
Country,驚奇4超人：第一步,6.9,IMDb,6.9
Country,徵人啟弒,7.6,IMDb,7.6
AU,終極戰士：殺戮星球,7.4,IMDb,7.4
AU,罪人,7.6,IMDb,7.6
AU,超人,7.1,IMDb,7.1
AU,魔法壞女巫：第二部,7.0,IMDb,7.0
AU,沒好婚姻,6.7,IMDb,6.7
AU,滿血復活,7.1,IMDb,7.1
AU,雷霆特攻隊*,7.1,IMDb,7.1
AU,星際寶貝：史迪奇,6.7,IMDb,6.7
AU,永遠在一起,6.7,IMDb,6.7
AU,卑鄙遊戲,5.9,IMDb,5.9
AU,是誰搞的鬼,5.1,IMDb,5.1
AU,鯊人魔,6.4,IMDb,6.4
AU,清算之戰,5.3,IMDb,5.3
AU,The Plague,7.0,IMDb,7.0
AU,熱浪之夏,5.6,IMDb,5.6
AU,Palestine 36,7.2,IMDb,7.2
AU,疾凍救援：復仇,4.8,IMDb,4.8
AU,One More Shot,5.6,IMDb,5.6
AU,Beast of War,5.3,IMDb,5.3
AU,EPiC: Elvis Presley in Concert,9.1,IMDb,9.1
AU,The Travellers,5.8,IMDb,5.8
AU,Bump: A Christmas Film,4.4,IMDb,4.4
AU,The Golden Spurtle,7.7,IMDb,7.7
AU,Jimpa,5.9,IMDb,5.9
AU,Long Day's Journey Into Night,8.2,IMDb,8.2
AU,The Offing,5.0,IMDb,5.0
AU,Yanuni,7.0,IMDb,7.0
AU,Kangaroo,6.7,IMDb,6.7
AU,Residence,8.9,IMDb,8.9
AU,The Room Below,,IMDb,
AU,Fear Below,5.1,IMDb,5.1
AU,"Mothers, Lovers and Others",8.2,IMDb,8.2
AU,The Singing Priest,Rate,IMDb,
AU,Deeper,6.9,IMDb,6.9
AU,Diabolic,8.1,IMDb,8.1
AU,Unseen Enemy,Rate,IMDb,
AU,Pellegrinis: A Melbourne Legacy,7.6,IMDb,7.6
AU,Until the Sky Falls Quiet,9.7,IMDb,9.7
AU,First Moon,3.3,IMDb,3.3
AU,Spit,6.1,IMDb,6.1
AU,The Black Essence,8.3,IMDb,8.3
AU,Space/Time,6.7,IMDb,6.7
AU,Shaunki Sardar,8.4,IMDb,8.4
AU,Carnal Vessels,6.0,IMDb,6.0
AU,Backlash,4.5,IMDb,4.5
AU,Alphabet Lane,6.3,IMDb,6.3
AU,Snatchers,4.8,IMDb,4.8
AU,The Edge,4.3,IMDb,4.3
AU,The Household,4.6,IMDb,4.6
AU,It Will Find You,8.0,IMDb,8.0
HK,Bu feng zhui ying,7.2,IMDb,7.2
HK,Huo zhe yan,7.7,IMDb,7.7
HK,世外,7.3,IMDb,7.3
HK,射鵰英雄傳：俠之大者,6.4,IMDb,6.4
HK,尋秦記,,IMDb,
HK,阿龍,4.9,IMDb,4.9
HK,隱蹟之書：重寫自我,8.4,IMDb,8.4
HK,無名指,6.0,IMDb,6.0
HK,Noi Mok,5.2,IMDb,5.2
HK,殺手#4,6.3,IMDb,6.3
HK,Golden Boy,6.1,IMDb,6.1
HK,眾生相,6.8,IMDb,6.8
HK,風林火山,5.9,IMDb,5.9
HK,Hybrid Storm,5.3,IMDb,5.3
HK,Shui jiao huang hou,6.4,IMDb,6.4
HK,地母,6.5,IMDb,6.5
HK,私家偵探,5.8,IMDb,5.8
HK,Ji dao,6.7,IMDb,6.7
HK,臨時決鬥,5.7,IMDb,5.7
HK,今天應該很高興,6.4,IMDb,6.4
