Region,Title,Source,Rank,Score
AU,阿凡達：火與燼,TMDb,,7.367
AU,巨洪,TMDb,,6.1
AU,出神入化3,TMDb,,6.5
AU,動物方城市2,TMDb,,7.657
AU,佛萊迪餐館之五夜驚魂2,TMDb,,6.456
AU,黃金硬漢：殺出血路,TMDb,,7.507
AU,死鑽倒影,TMDb,,6.011
AU,Delivery Run,TMDb,,5.475
AU,Risqué,TMDb,,4.875
AU,三惡人,TMDb,,6.214
AU,世界毀滅者,TMDb,,6.034
AU,狼城驚魂,TMDb,,6.8
AU,世界大戰,TMDb,,4.251
AU,Bang: storm of bullets,TMDb,,6.306
AU,鋒迴路轉：亡者歸來,TMDb,,7.215
AU,逃亡遊戲,TMDb,,6.8
AU,勇者時刻,TMDb,,7.809
AU,捕風追影,TMDb,,6.587
AU,創：戰神,TMDb,,6.6
AU,終極戰士：殺戮星球,TMDb,,7.338
AU,狩獵季,TMDb,,7.1
AU,換乘真愛,TMDb,,7.0
AU,劇場版『鏈鋸人 蕾潔篇』,TMDb,,8.294
AU,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,TMDb,,7.634
AU,聖母殺手,TMDb,,6.5
AU,角頭－鬥陣欸,TMDb,,6.2
AU,Please Don't Feed the Children,TMDb,,6.018
AU,山怪巨魔 2,TMDb,,6.6
AU,家弒服務,TMDb,,8.0
AU,The Other,TMDb,,5.671
AU,一戰再戰,TMDb,,7.476
AU,坎塔拉：第一章,TMDb,,7.0
AU,科學怪人,TMDb,,7.713
AU,神鬼劫案：瞞天過海,TMDb,,6.59
AU,征服者,TMDb,,6.268
AU,哪吒之魔童鬧海,TMDb,,8.09
AU,紐倫堡審判,TMDb,,7.186
AU,Kpop 獵魔女團,TMDb,,8.173
AU,德古拉：愛情故事,TMDb,,7.1
AU,劇場版 咒術迴戰 澀谷事變x死滅迴游 先行上映,TMDb,,5.3
AU,倫敦呼喚,TMDb,,7.0
AU,乖狗狗,TMDb,,6.765
AU,不可能的任務：最終清算,TMDb,,7.243
AU,去死吧，親愛的,TMDb,,6.37
AU,超人,TMDb,,7.391
AU,限時營救,TMDb,,6.3
AU,Soy Frankelda,TMDb,,8.513
AU,魔法壞女巫：第二部,TMDb,,6.762
AU,海綿寶寶電影版：尋寶大冒險,TMDb,,7.071
AU,驚奇4超人：第一步,TMDb,,7.011
AU,暴蜂尼亞,TMDb,,7.4
AU,孤夜尋兇：豪門血案,TMDb,,7.3
AU,柔語情話,TMDb,,5.975
AU,木匠之子,TMDb,,5.2
AU,史普林斯汀：走出虛無,TMDb,,6.973
AU,全家逃走中 2：在節難逃,TMDb,,6.626
AU,顫懼,TMDb,,5.5
AU,10DANCE,TMDb,,6.7
AU,侏羅紀世界：重生,TMDb,,6.371
AU,闇黑電話2,TMDb,,6.856
HK,阿凡達：火與燼,TMDb,,7.367
HK,巨洪,TMDb,,6.1
HK,出神入化3,TMDb,,6.5
HK,動物方城市2,TMDb,,7.657
HK,佛萊迪餐館之五夜驚魂2,TMDb,,6.456
HK,黃金硬漢：殺出血路,TMDb,,7.507
HK,死鑽倒影,TMDb,,6.011
HK,Delivery Run,TMDb,,5.475
HK,Risqué,TMDb,,4.875
HK,三惡人,TMDb,,6.214
HK,世界毀滅者,TMDb,,6.034
HK,狼城驚魂,TMDb,,6.8
HK,世界大戰,TMDb,,4.251
